,date,text,followers,polarity,sentiment_confidence,clusters,difference
0,2018-02-25 03:32:15,b'@IPM_Tweets @markos @BarbinMD @OurRevolution You know who else doesn\xe2\x80\x99t support Kucinich? Bernie. https://t.co/idK0gfWEys',222,0.0,0.0,4,0.0
1,2018-02-25 03:32:15,b'RT @IamKurinKassen: ANSWER KEY!!!!! https://t.co/bVeybCyxOt',143,0.0,1.0,1,0.0
2,2018-02-25 03:32:15,"b""RT @MomsDemand: NRATV promotes dangerous conspiracy theories, racially charged rhetoric, and violent demonization of the NRA's political op\xe2\x80\xa6""",22,-0.4666666666666666,0.6666666666666666,3,-7.822491639093331e-05
3,2018-02-25 03:32:14,"b'@DanGrayauthor @shannonrwatts @NRA @NRATV @amazon @Apple @RokuPlayer @Google 5 million NRA members, 80 million law\xe2\x80\xa6 https://t.co/4XmuYwZR7R'",24,0.0,0.0,4,0.0
4,2018-02-25 03:32:14,"b""RT @shannonrwatts: Delta and United severed ties to the @NRA: Now it's your turn @AppleTV, @Google, @Amazon, and @RokuPlayer. It's time to\xe2\x80\xa6""",97,0.0,0.0,4,0.0
5,2018-02-25 03:32:14,"b""So, let's start with patizio &amp; amiria. Google it. It will make you smile:-)""",3,0.4,0.55,0,7.543116937697142e-06
6,2018-02-25 03:32:13,b'\xe2\x99\xa8Very very Berry on Google play https://t.co/ksQ6Dp1Zt8 #\xe9\x9f\xb3\xe6\xa8\x82 #Japan #information',55635,0.2,0.3,1,0.03815102825716186
7,2018-02-25 03:32:13,"b'RT @Mark_Beech: Do a Google search for 70mp image of ""Lord Bryon"" and the first image you get is John Cooper Clarke. That... https://t.co/o\xe2\x80\xa6'",0,0.25,0.3333333333333333,1,0.0
8,2018-02-25 03:32:13,"b'RT @by_winterbliss: [\xf0\x9f\x87\xb5\xf0\x9f\x87\xad PH G.O] #\xec\xa3\xbc\xed\x98\xb8_GO\nMEAN IT ! 1ST PHOTOBOOK \xe2\x9e\x96 NO DOUBT, by @meanit_mh \xf0\x9f\x92\x93\n\n\xe2\x96\xaa\xef\xb8\x8f Price: Php 2,200\n\xe2\x96\xaa\xef\xb8\x8f Deadline: March 24\n\xe2\x96\xab\xef\xb8\x8f De\xe2\x80\xa6'",4,-0.9375,1.0,3,-4.285861896418831e-05
9,2018-02-25 03:32:12,"b""RT @quintabrunson: I really don't like when different apps like google and adobe ask me for my phone number. like chill. I have a boyfriend.""",715,0.1,0.4,1,0.0003268684006335429
10,2018-02-25 03:32:12,b'RT @salukipop: MY MOM GOT A GOOGLE HOME MINI AND I WAS TRYING 2 ASK IT SMTH AND IT JUSTAOFJFJDJDJ https://t.co/SmImHq77fR',240,0.0,0.0,4,0.0
11,2018-02-25 03:32:12,b'RT @ShidelerK: Broward County Deputy &amp; CAIR FL employee Nezar Hamze found time 2 instruct mosque attendees 2 arm themselves against active\xe2\x80\xa6',62,0.0,0.0,4,0.0
