2018-02-25 03:47:41,b'RT @PletchaPJWebb: @EricWilderOK FRENCH QUARTER MYSTERY SERIES set in New Orleans mystery/paranormal https://t.co/oh0F9UbITz  https://t.co/\xe2\x80\xa6',10045
2018-02-25 03:47:40,b'RT @charlesmilander: Twitter Cracks Down on Bots and Automation\nhttps://t.co/7iRZqsYCNe Start making money online. https://t.co/gUavOl03cF\xe2\x80\xa6',14
2018-02-25 03:47:40,b'@abhishek @amazonIN @AmazonEchoIndia @amazon So cute',1
2018-02-25 03:47:40,b'@winterpersists @amazon @Google @RokuPlayer @NRATV @NRA Why are the Victims of #Parkland smiling one moment and sad\xe2\x80\xa6 https://t.co/qGvYbgvl66',1562
2018-02-25 03:47:40,b'RT @ProudResister: SHAME ON YOU @amazon for providing a platform to the @NRA. Drop NRA TV from your streaming service or we will drop you.\xe2\x80\xa6',90
2018-02-25 03:47:40,b'RT @ProudResister: 20 brands have dumped the @NRA: \n\n@MetLife\n@symantec\n@LifeLock\n@BestWestern\n@Wyndham\n@Alamo\n@NationalPro\n@Enterprise\n@FN\xe2\x80\xa6',43
2018-02-25 03:47:40,b'RT @ProudResister: 20 brands have dumped the @NRA: \n\n@MetLife\n@symantec\n@LifeLock\n@BestWestern\n@Wyndham\n@Alamo\n@NationalPro\n@Enterprise\n@FN\xe2\x80\xa6',157
2018-02-25 03:47:40,"b'RT @SHOUTmyBook: RING OF THE CABAL is a revelation, a self-empowerment prescription, a mind sharpening tool and a strategy to fight. #IARTG\xe2\x80\xa6'",89362
2018-02-25 03:47:39,b'RT @sukikaru3mm: 2pac THUG LIFE #\xe3\x82\xbf\xe3\x83\x88\xe3\x82\xa5\xe3\x83\xbc\xe3\x82\xb7\xe3\x83\xbc\xe3\x83\xab \nhttps://t.co/cmuDq2ePlK \n#thuglife #50niggaz #2pac #westside #gangsta #supreme #awesome #beach #p\xe2\x80\xa6',395
2018-02-25 03:47:39,"b'Check out ""High By The Beach [Explicit]"" by Lana Del Rey on Amazon Music. https://t.co/y4UXPFER9a https://t.co/HkbxPZ2Pqz'",10
2018-02-25 03:47:39,"b'RT @PennilessScribe: ""You can\'t see it. You\'re too close. You\'re blind, just like everyone else...""\n\nhttps://t.co/GfsoG8m8Em             \n#\xe2\x80\xa6'",4600
2018-02-25 03:47:39,b'@ForParkland @cameron_kasky How do we buy the official t shirts ? I\xe2\x80\x99m sure there are going t be opportunists sellin\xe2\x80\xa6 https://t.co/aHCrfbP61P',4
2018-02-25 03:47:38,"b'Enter daily to win your choice of an Echo Show, Air Multi-Fryer, Roku 4 or $200 Amazon Gift Card in the Fan Appreci\xe2\x80\xa6 https://t.co/qfmFWgN2RV'",637
2018-02-25 03:47:38,"b'RT @TheRickyDavila: Hi @amazon @FedEx @Apple @Google,\n\n20 brands now. Do what\xe2\x80\x99s right.\n\n@MetLife\n@symantec\n@LifeLock\n@BestWestern\n@Wyndham\xe2\x80\xa6'",0
2018-02-25 03:47:38,b'RT @ChangeComin: @davidhogg111 @eBay @amazon @USPS @NRATV There has been a #BoycottAmazon going on since #45 came into office because they\xe2\x80\xa6',503
2018-02-25 03:47:38,b'RT @joncoopertweets: \xe2\x9c\x8aRetweet after me \xe2\x80\x94 let\xe2\x80\x99s make this hashtag trend. Help convince @JeffBezos to do the right thing and cut @Amazon\xe2\x80\x99s ti\xe2\x80\xa6',214
2018-02-25 03:47:38,"b'RT @bernardfoong: ""Ballet taught me the power of seduction."" Young\nUNBRIDLED: https://t.co/Erlv1hQxZJ\n#RRBC #danceforlife #IARTG https://t.\xe2\x80\xa6'",247
2018-02-25 03:47:37,b'RT @williamlegate: Contact Amazon support in &lt;2 seconds to show your disapproval of them hosting NRA TV using this special link below. #Boy\xe2\x80\xa6',113
2018-02-25 03:47:36,b'RT @atremblay1: I will be closing my Amazon account and everyone should do the same and when Amazon decides to end its relationship with th\xe2\x80\xa6',82
2018-02-25 03:47:36,"b'RT @scottygirl2014: MSNBC has reported in the last hour that @amazon HAS AGREED to remove NRATV from their streaming service. However, no d\xe2\x80\xa6'",94
2018-02-25 03:47:36,"b'RT @joss: The NRA\xe2\x80\x99s media arm, NRATV, uses dangerous rhetoric to spread fear so people will buy more guns.\n\nAdd your name to tell @AppleTV,\xe2\x80\xa6'",189
